Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TCGA-KM-8442-01,0.30817676,0.41918772,0.40152863,0.6558939,0.5232515,0.4648138,0.60901296,0.4458518,0.3054915,0.4038802,0.5969318,0.70297503,0.32609978,0.30727062,0.56238794,0.3686788,0.55143464,0.2874033,0.5495851,0.6431078,0.50310564,0.46604043,0.37825713,0.49086776,0.5493622,0.35412282,0.5377492,0.26329917,0.32766557,0.60583884,0.558757,0.6000224,0.41066065,0.38767105,0.21755715,0.6580485,0.39688057,0.5999893,0.57541233,0.3130949,0.5929976,0.3255083,0.35170183,0.68031925,0.5137551,0.2858498,0.6544267,0.5548259,0.26942524,0.47256094,0.6561126,0.52265006,0.33619756,0.5455744,0.3109802,0.6025305,0.4004714,0.31641144,0.3382892,0.56131834,0.3853944,0.27167088,0.5420138,0.7115029,0.41851723,0.60764253,0.2897985,0.5145686,0.5878295,0.5432454,0.53753865,0.563689,0.33265698,0.3364529,0.7231108,0.54947627,0.45645648,0.41908607,0.29749,0.26370952,0.5011067,0.28660434,0.5577462,0.30045292,0.28648734,0.3285898,0.33512428,0.47249925,0.6047487,0.49247652,0.54168266,0.38505167,0.29452923,0.61489314,0.59456736,0.6123646,0.3692611,0.35830432,0.3934557,0.7035309
TCGA-KN-8428-01,0.38926005,0.41752505,0.49725205,0.5765584,0.5995034,0.41290367,0.5553698,0.1448941,0.55485314,0.456829,0.5639864,0.32913768,0.30847496,0.609353,0.6834929,0.4538653,0.38202077,0.3332282,0.39295352,0.22455317,0.2755314,0.6748048,0.2961876,0.43437326,0.5020771,0.49859005,0.7010428,0.22155765,0.25311112,0.6111287,0.63598174,0.5013453,0.79123825,0.18128172,0.23766863,0.7649148,0.4061532,0.39634362,0.52802515,0.51497114,0.61815983,0.3595793,0.56604505,0.7334439,0.47581705,0.5522228,0.7575278,0.35279873,0.390442,0.8337727,0.6454166,0.27696252,0.24163017,0.6266029,0.42293808,0.48587817,0.4013967,0.16155598,0.3758621,0.6740413,0.5485388,0.33323216,0.5833573,0.3354088,0.17235535,0.49843234,0.48392197,0.281099,0.49514598,0.6599084,0.8117501,0.520024,0.34360793,0.4592272,0.34647158,0.8339647,0.4596823,0.6442462,0.41500396,0.2777469,0.43032265,0.5729089,0.42228198,0.40367046,0.20429038,0.58834904,0.60378027,0.6485503,0.36478138,0.31948096,0.32908648,0.24887665,0.19482681,0.7122112,0.60398334,0.58318204,0.6975553,0.5759949,0.6205089,0.52407277
TCGA-KN-8430-01,0.31489003,0.3374725,0.25617546,0.60541,0.41838703,0.46052796,0.5752806,0.40843153,0.55717444,0.5764126,0.60411954,0.71843505,0.29980183,0.35708225,0.6535646,0.33788732,0.4303785,0.37342614,0.6779288,0.60619575,0.43966776,0.602294,0.4510919,0.37133104,0.50829613,0.67383707,0.58590126,0.28501052,0.38631082,0.30842078,0.47994503,0.65242183,0.4477697,0.40570801,0.23532045,0.63539773,0.36745727,0.48580092,0.55951136,0.38542467,0.54065925,0.32720196,0.430291,0.65505266,0.5224579,0.41022858,0.59776175,0.33648247,0.2989047,0.5117339,0.6270212,0.45738444,0.33584225,0.52735555,0.37939894,0.6524762,0.455379,0.36694825,0.38208207,0.4638795,0.4327767,0.2689876,0.4818389,0.74698186,0.46058562,0.51683027,0.3075658,0.60699856,0.61088115,0.5362418,0.5661744,0.6394748,0.20332,0.35938805,0.6831764,0.51958764,0.33837244,0.4231763,0.2853157,0.33072126,0.5101788,0.6064106,0.57627046,0.3966992,0.38388044,0.32159764,0.36591703,0.46706492,0.49991274,0.42716542,0.464819,0.33981353,0.24417543,0.6951587,0.6717578,0.4946409,0.34076256,0.3949166,0.30096632,0.68377125
TCGA-KL-8343-01,0.28146124,0.26740786,0.4381593,0.50525415,0.531358,0.70844585,0.59674853,0.34356555,0.56086504,0.71585405,0.46387395,0.58022547,0.28065884,0.48138675,0.5286275,0.44515887,0.38595077,0.39943552,0.52054113,0.2027382,0.6014685,0.6117035,0.2266947,0.6909133,0.70282745,0.5035392,0.529347,0.15672994,0.36074695,0.6149572,0.45449135,0.76758146,0.44627512,0.6111385,0.48701307,0.6468696,0.2625739,0.50438356,0.65050066,0.42770556,0.46149325,0.5245868,0.48964512,0.45695066,0.45722103,0.29326743,0.5276794,0.40417925,0.3409766,0.7253321,0.56236637,0.6720935,0.36032927,0.5196839,0.31078002,0.4491196,0.50415397,0.20485844,0.37127322,0.5693388,0.3459036,0.25303978,0.3266254,0.7557842,0.3955092,0.55230004,0.39496917,0.37326574,0.5790705,0.28566152,0.52264035,0.59621656,0.27389967,0.44981146,0.70475376,0.41396004,0.45689356,0.41127515,0.32004327,0.40529382,0.55441374,0.4979639,0.7123392,0.4607488,0.23784004,0.23278442,0.37001193,0.26303688,0.6237633,0.6554431,0.47355717,0.38943395,0.45239553,0.5663426,0.55379945,0.4789404,0.37337506,0.38961342,0.44999436,0.8283979
TCGA-KL-8324-01,0.3198668,0.24977885,0.42977583,0.78048813,0.29659384,0.47924852,0.61227095,0.36355096,0.4136337,0.49370328,0.7103906,0.6349769,0.32900167,0.5868781,0.50177664,0.5749408,0.54309905,0.23814946,0.61530626,0.49974865,0.5865439,0.48345426,0.38169336,0.43296796,0.61223996,0.6162158,0.5075335,0.275728,0.3332767,0.76738924,0.50554204,0.50535977,0.37611675,0.633791,0.2452046,0.38625014,0.32371825,0.63346964,0.35088822,0.32795274,0.44561163,0.33251226,0.2665773,0.74907225,0.39410982,0.23370346,0.6321421,0.47250807,0.24982226,0.36860105,0.66082436,0.62404567,0.28154013,0.49795794,0.29832494,0.45293128,0.35657698,0.29025435,0.3762008,0.57244754,0.3728509,0.23032477,0.56099236,0.6152435,0.35168073,0.49775428,0.2860689,0.5533018,0.5358799,0.4363809,0.5002602,0.5708115,0.3730165,0.31923825,0.6308074,0.6593966,0.33066094,0.37230337,0.39755017,0.21571721,0.7413076,0.5779585,0.6094942,0.3186167,0.23473296,0.4004947,0.39550138,0.4276112,0.35730428,0.44427115,0.4614682,0.27696228,0.28024215,0.52991396,0.30290347,0.6523386,0.31477243,0.3733342,0.41156852,0.65154696
TCGA-KN-8421-01,0.27243277,0.4105665,0.5244068,0.73355496,0.47895437,0.7140771,0.5341419,0.31430522,0.5279722,0.34724295,0.62339985,0.5951387,0.35228148,0.5881578,0.5129233,0.6161595,0.4123794,0.35791415,0.69973123,0.3434167,0.68444353,0.3357932,0.35886252,0.42303324,0.6725397,0.7077836,0.27480584,0.28412756,0.26257756,0.7099428,0.29277283,0.5597974,0.3126703,0.65016913,0.4962681,0.5750538,0.5617378,0.5646332,0.59730244,0.3327106,0.58672774,0.2402238,0.3879435,0.70633113,0.5903559,0.3515241,0.60392994,0.21804658,0.30609462,0.60248005,0.32631445,0.5915682,0.27881378,0.6119667,0.27177006,0.51884705,0.40167904,0.34631503,0.38101572,0.47349584,0.64933044,0.31363606,0.56983274,0.73021626,0.44037312,0.48617464,0.37307847,0.3765756,0.5627142,0.47964853,0.6023707,0.34064147,0.3118065,0.32548422,0.69904137,0.5913857,0.4980073,0.40702927,0.36906448,0.2498913,0.67603815,0.32613686,0.67184067,0.33395696,0.31451857,0.39725018,0.24753939,0.49261072,0.38423502,0.36570257,0.4831772,0.33798996,0.36394203,0.6190932,0.38540804,0.5573493,0.30810064,0.3853776,0.328156,0.6582867
TCGA-KL-8333-01,0.2664778,0.4923484,0.38152206,0.44639206,0.60796124,0.5500221,0.70208025,0.5626546,0.5175392,0.4803479,0.55027074,0.6890633,0.28751415,0.30698124,0.52228326,0.48450997,0.34838116,0.3274912,0.63219243,0.42834064,0.48676637,0.4929508,0.5723947,0.5899478,0.6335049,0.6032078,0.5400377,0.3606286,0.36341113,0.42107204,0.50782424,0.5592848,0.4860739,0.45315382,0.23363261,0.35383633,0.31135625,0.5043249,0.5929843,0.5450013,0.61985654,0.5638249,0.5876695,0.6607447,0.30770144,0.29336882,0.6071302,0.3528423,0.20990068,0.5808678,0.73076457,0.55025196,0.42439747,0.3064679,0.3145023,0.52265555,0.28272367,0.3787622,0.32431123,0.37565878,0.34513167,0.26064807,0.37722257,0.56105596,0.34361216,0.55643517,0.386852,0.7309033,0.5304581,0.35594213,0.52532786,0.6885046,0.28940237,0.4827686,0.49524605,0.45169464,0.4569428,0.5699003,0.33250523,0.36926994,0.4022425,0.51885784,0.54478395,0.3968736,0.26595572,0.48090094,0.30051,0.716212,0.69341886,0.5826196,0.35372245,0.47249705,0.341657,0.5693029,0.5774433,0.5547013,0.3951025,0.29984555,0.487623,0.6537531
TCGA-KM-8441-01,0.5232763,0.27911866,0.20373096,0.6124881,0.33228147,0.730196,0.3576967,0.64896715,0.56349385,0.60786486,0.5926983,0.7380974,0.61881226,0.206075,0.64695656,0.56439596,0.37039125,0.35588533,0.3803439,0.40225393,0.60584235,0.70397925,0.32502845,0.49995446,0.58621275,0.35379148,0.34772813,0.33898234,0.5430013,0.5062719,0.3290989,0.67190194,0.68664515,0.6678941,0.25782207,0.3932265,0.4044559,0.33052948,0.59157676,0.55619454,0.4823248,0.32110026,0.71860415,0.38092503,0.6350357,0.39641327,0.6267151,0.2184207,0.29190177,0.5688545,0.65905905,0.2098585,0.33683395,0.7050588,0.35030293,0.5946181,0.5384221,0.35791245,0.3432788,0.2672096,0.700721,0.29017496,0.2056809,0.760407,0.52713865,0.32600865,0.66308326,0.67050916,0.537969,0.6349777,0.53662825,0.5883081,0.19659518,0.3610507,0.78145915,0.39555225,0.19895968,0.39023092,0.32386452,0.35012925,0.64929014,0.6079931,0.6072717,0.35596514,0.37231222,0.2633391,0.2798286,0.61249566,0.5217347,0.547257,0.57555497,0.32940498,0.5156099,0.3480537,0.7559407,0.36897743,0.33159882,0.38514772,0.45342758,0.57093006
TCGA-KL-8335-01,0.1849396,0.5361029,0.5034089,0.64217144,0.58678854,0.39155275,0.5726723,0.33379492,0.6150906,0.41582558,0.67782986,0.3303026,0.28100777,0.6866794,0.59829485,0.31563854,0.330722,0.25434095,0.63853323,0.6190661,0.6087222,0.6029326,0.4944872,0.6280358,0.63952684,0.55517757,0.42246792,0.26574582,0.26921844,0.5191184,0.4852906,0.44278753,0.27352607,0.34005696,0.2857378,0.67836916,0.3513211,0.6865896,0.5156471,0.45215613,0.5209919,0.4171145,0.40619802,0.7257617,0.534304,0.37206155,0.62806034,0.44230205,0.32879466,0.47647142,0.6460065,0.48534673,0.19495484,0.49255773,0.20751879,0.53342503,0.35160372,0.29474694,0.5013082,0.43234313,0.37556118,0.32000273,0.5654151,0.5634195,0.34891587,0.67243373,0.29987326,0.29013693,0.5048257,0.71659666,0.61880577,0.7465975,0.55828905,0.24870127,0.6688419,0.7327799,0.68936473,0.48374885,0.28698698,0.435821,0.44602343,0.5464029,0.59922266,0.44045946,0.36161005,0.4008553,0.263093,0.492051,0.38294798,0.46462446,0.46582285,0.26362285,0.3223519,0.6401463,0.47112283,0.56011206,0.40885115,0.4123724,0.40728775,0.71220446
TCGA-KN-8427-01,0.16324238,0.27647203,0.65531963,0.5635044,0.5787516,0.78817654,0.46825054,0.22839223,0.3715429,0.71631634,0.28515238,0.59769905,0.45828333,0.5535346,0.24197316,0.71654654,0.3116553,0.7071215,0.46379477,0.17676596,0.35424954,0.43582743,0.2806822,0.6122783,0.47669935,0.45232204,0.53674954,0.33952904,0.46924466,0.7312827,0.57709086,0.1821629,0.7230048,0.1934998,0.72678524,0.27854103,0.24005306,0.31133395,0.61373985,0.81773686,0.37403673,0.41114974,0.47942096,0.41712472,0.38701138,0.28201073,0.28134754,0.7547441,0.19795883,0.5494377,0.5165563,0.49607417,0.30455,0.20150691,0.6670468,0.4719752,0.7227689,0.5375687,0.17078501,0.4753778,0.16768351,0.40284634,0.6359388,0.3117038,0.546175,0.74960834,0.389966,0.27814344,0.37129954,0.47967148,0.66619045,0.7435307,0.2037007,0.7830143,0.53180176,0.43430763,0.5604801,0.573435,0.38530064,0.46056837,0.29203808,0.20318739,0.36070985,0.6974553,0.33115998,0.31550652,0.44958657,0.51194715,0.33673465,0.79644656,0.22021887,0.4122499,0.6621544,0.55043584,0.60955864,0.34475726,0.6354212,0.5134934,0.53644073,0.6495292
