Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A1-A0SF,0.3896287,0.3782711,0.8172711,0.18587169,0.6533977,0.52326614,0.5637768,0.84451795,0.38971072,0.25395977,0.39415565,0.59863657,0.22522587,0.8251816,0.4059752,0.4849621,0.6556584,0.5879859,0.68437266,0.62098277,0.6409188,0.68938816,0.43918908,0.5137936,0.5083109,0.6939327,0.6310996,0.6168439,0.4518023,0.8119167,0.44904074,0.7350805,0.3296851,0.5588895,0.609978,0.5078807,0.7424638,0.4004843,0.64952576,0.4790945,0.45711952,0.51907545,0.7076502,0.6696521,0.22101364,0.2484815,0.21289158,0.82972634,0.77961934,0.59277236,0.36817318,0.7099889,0.36843687,0.41104537,0.68652856,0.18554191,0.46308184,0.4323056,0.6503142,0.80257213,0.5201403,0.7814485,0.71235037,0.6535424,0.5282779,0.3500438,0.45043322,0.32034442,0.542672,0.35647073,0.57066494,0.27963215,0.51426077,0.49958363,0.58106273,0.42564723,0.48311627,0.8969263,0.7223079,0.6689379,0.2857673,0.66907287,0.28146303,0.43442848,0.7679217,0.5335202,0.84215534,0.46387836,0.4875868,0.49475393,0.7384766,0.52374494,0.42631406,0.3746021,0.2533369,0.26228303,0.5969782,0.6485755,0.57778955,0.5702427
A1-A0SJ,0.13989276,0.8571272,0.762418,0.10348905,0.29272118,0.3625274,0.28281748,0.64072126,0.5999677,0.5863925,0.8089929,0.7043395,0.8624946,0.8048888,0.43572497,0.5264641,0.47103563,0.5116716,0.7882033,0.6201573,0.4522666,0.2984348,0.5475235,0.121509254,0.4987483,0.46664914,0.8313645,0.68213856,0.78235847,0.63243675,0.53711045,0.73274964,0.64172834,0.69773316,0.35463572,0.5071199,0.39673838,0.80587655,0.22704893,0.57661366,0.5642628,0.4801054,0.9392843,0.79161507,0.3139007,0.42377058,0.6913829,0.44905958,0.5760362,0.17909095,0.8502219,0.8617804,0.20041631,0.58275306,0.8260524,0.59098774,0.38133514,0.6418625,0.2538342,0.65673614,0.53247017,0.6934039,0.627956,0.23240158,0.29373428,0.7468093,0.47429457,0.27761626,0.6495817,0.34839252,0.68346393,0.4735594,0.60211504,0.31820107,0.49315113,0.23995018,0.32133314,0.7784151,0.84803915,0.47461587,0.2552087,0.6151774,0.56729174,0.6774313,0.60497844,0.21719056,0.4985031,0.6548257,0.44646513,0.8337894,0.47782648,0.64798415,0.325739,0.3126185,0.78095186,0.25414917,0.69290876,0.31689236,0.40927735,0.49683768
A1-A0SK,0.9067859,0.40514216,0.04436485,0.8386001,0.116447166,0.08186363,0.9680165,0.70553195,0.58347327,0.8587857,0.1150196,0.23343098,0.83818007,0.11510068,0.2339552,0.10821456,0.92631555,0.03389414,0.3627429,0.3396541,0.14426446,0.15327603,0.49174333,0.2584368,0.9567853,0.9422854,0.4525348,0.8677225,0.7140573,0.06101542,0.9329834,0.078773156,0.22683193,0.8809979,0.113629624,0.4388543,0.8101294,0.95184743,0.6984298,0.86470777,0.2424402,0.85832053,0.37174374,0.18386784,0.4395792,0.7237247,0.9303138,0.22058737,0.8708041,0.350698,0.6885728,0.15162727,0.05654913,0.3614459,0.24034104,0.06959595,0.47594523,0.18567622,0.18271783,0.8516055,0.9629402,0.1821433,0.73478425,0.0792726,0.25058794,0.719156,0.95007926,0.9420598,0.16736877,0.059976332,0.17560536,0.24358568,0.10433081,0.2519729,0.8057472,0.9115313,0.47821826,0.92670715,0.85152745,0.10671787,0.9397085,0.9449308,0.88244927,0.08074145,0.90556353,0.9427375,0.40794116,0.9426297,0.91532505,0.7914094,0.45570812,0.050795447,0.25353238,0.31486732,0.87250894,0.14573845,0.5866459,0.37308383,0.08939142,0.9250546
A1-A0SO,0.86922026,0.28567046,0.08122865,0.7593558,0.1872403,0.09560899,0.790846,0.86419195,0.7844419,0.93117917,0.09700296,0.6969328,0.571253,0.57085735,0.18142906,0.249057,0.6915549,0.54048693,0.27747136,0.62453425,0.12798648,0.40698546,0.26313254,0.24212778,0.8586786,0.90694,0.2011924,0.30175644,0.12726018,0.25203264,0.8147653,0.24970472,0.72764295,0.63759017,0.091300994,0.8271813,0.19077115,0.9245999,0.5013141,0.5309454,0.39202154,0.76314294,0.7598112,0.11804925,0.9051348,0.64551055,0.9043573,0.38052607,0.41655174,0.18969667,0.2954946,0.4291042,0.7115915,0.35178402,0.40512532,0.7164283,0.5917882,0.17169593,0.2539273,0.6194385,0.88158536,0.13757882,0.53141266,0.27027005,0.53202903,0.9148312,0.5846229,0.8099044,0.4124424,0.37264532,0.1948273,0.31067663,0.14734015,0.24639314,0.77543235,0.4547882,0.7639864,0.8199152,0.43757656,0.22382256,0.9376798,0.90487653,0.69361806,0.17642242,0.8904985,0.8999567,0.2818454,0.8657961,0.8290451,0.50309974,0.9189711,0.115172446,0.2804497,0.49611822,0.7520851,0.398116,0.39425635,0.87122023,0.2644395,0.8268544
A1-A0SQ,0.26362735,0.7754604,0.8630365,0.185748,0.5463171,0.36231822,0.14769995,0.8460974,0.9262223,0.29232594,0.4374915,0.7223131,0.38490352,0.84337765,0.59594536,0.1331622,0.32398024,0.50445426,0.5653168,0.5253842,0.2610149,0.55751485,0.419743,0.0778502,0.6748885,0.66664374,0.38966298,0.79074025,0.72697294,0.78452814,0.87261164,0.7988736,0.68699443,0.67881703,0.6989032,0.6290784,0.26991665,0.48912078,0.46615607,0.44763517,0.13636208,0.7129617,0.45393318,0.51922774,0.2669437,0.25471836,0.4762589,0.5208853,0.52606833,0.12114671,0.53542763,0.2856777,0.24637556,0.49814796,0.7601861,0.33242097,0.72147393,0.21161827,0.59891784,0.48573574,0.80574703,0.38625062,0.786735,0.21830893,0.67685854,0.73492134,0.1943392,0.16732512,0.6567538,0.8745315,0.9122571,0.31808218,0.49195647,0.7153223,0.8185197,0.36709723,0.1648963,0.8486835,0.7998408,0.6369458,0.47788155,0.4080125,0.42994198,0.73119855,0.26250005,0.5670986,0.83441556,0.69995636,0.7719663,0.5084282,0.5048447,0.69582367,0.28981984,0.19154283,0.39729065,0.24537307,0.8104671,0.35233843,0.6757459,0.18520278
A2-A04N,0.57266366,0.56333166,0.7300635,0.5078168,0.28689462,0.62615216,0.55914724,0.22150734,0.14264753,0.42512235,0.8282137,0.18376842,0.4203946,0.782911,0.5624176,0.5980443,0.76632047,0.31996667,0.6688587,0.68039584,0.7510988,0.80359554,0.46277535,0.8556837,0.39033747,0.55497193,0.8127947,0.82704556,0.5315417,0.54566616,0.15667595,0.55696696,0.21089293,0.29889077,0.6163076,0.3959271,0.9091401,0.7813618,0.58607316,0.5631852,0.57626873,0.5728256,0.82283753,0.742865,0.35280412,0.6962805,0.19963995,0.37897328,0.8300321,0.48400626,0.7177684,0.8361934,0.55016315,0.7953846,0.42366886,0.460658,0.31103128,0.5970919,0.5528256,0.76229525,0.47386408,0.80315256,0.5744259,0.49687108,0.41933927,0.12888803,0.75868326,0.6268228,0.728467,0.2598771,0.50758797,0.46682903,0.2639321,0.4085564,0.4126122,0.25553536,0.61128455,0.6633347,0.6574408,0.76261145,0.21686512,0.59637135,0.73797613,0.43547451,0.38699442,0.27372077,0.6429218,0.24052337,0.49735206,0.4651124,0.51838756,0.48189604,0.6093961,0.40899628,0.21852627,0.17376833,0.8168124,0.5549153,0.7190206,0.4023001
A2-A04P,0.38619024,0.62372655,0.70933145,0.37470272,0.7052438,0.3348817,0.5573996,0.86391807,0.14117678,0.37607998,0.4049489,0.8392055,0.6237333,0.7272678,0.119004525,0.29834795,0.67438096,0.8372545,0.26648968,0.21007185,0.8524569,0.10087841,0.19938195,0.57587564,0.6537713,0.6961547,0.5637413,0.27836603,0.114398986,0.3528765,0.73812664,0.2330178,0.20836866,0.17124037,0.60547066,0.10171992,0.43926293,0.32295182,0.90552044,0.9165517,0.18570343,0.5359972,0.20781374,0.59620434,0.53164583,0.7762157,0.2712207,0.83168215,0.08012238,0.9062078,0.22329071,0.6171125,0.7823919,0.37774414,0.42496446,0.693496,0.18548146,0.26581204,0.45617282,0.86547875,0.73375994,0.27168524,0.26155943,0.7171472,0.6589204,0.69962424,0.16020942,0.79312295,0.3272751,0.12180415,0.19046248,0.4055721,0.61064863,0.10230504,0.8486306,0.22771591,0.54699236,0.366557,0.15444306,0.90379024,0.29878682,0.66689056,0.76805335,0.3146441,0.851361,0.6218834,0.8650696,0.6528397,0.52305055,0.9031217,0.923497,0.530835,0.29377824,0.48643923,0.54539025,0.13996327,0.39724386,0.9297523,0.17302299,0.90446866
A2-A04Q,0.7742392,0.8551549,0.7846835,0.7039523,0.568294,0.74277216,0.6946403,0.63376456,0.7093762,0.20412321,0.4907192,0.83068085,0.73778343,0.5601595,0.14438114,0.7866136,0.73309714,0.41414377,0.50858307,0.47379398,0.8797218,0.44096833,0.7798757,0.853604,0.43154266,0.45129007,0.25141913,0.1333972,0.41946334,0.63798356,0.717659,0.38413498,0.23450968,0.59467065,0.6909004,0.14673962,0.18548056,0.1221769,0.45630595,0.22300202,0.17854401,0.31093144,0.35524595,0.42872012,0.2752061,0.7358961,0.3900392,0.88090694,0.53786826,0.63282,0.24482158,0.64821386,0.65266454,0.16180843,0.4187765,0.57412237,0.16721648,0.47384274,0.33591676,0.6489973,0.6845982,0.8963375,0.5777485,0.83164585,0.2879756,0.4777195,0.6475997,0.33102638,0.21164553,0.39683616,0.23830612,0.4053583,0.9276484,0.7024049,0.6930089,0.309695,0.58257437,0.3275026,0.35562447,0.7366859,0.36342975,0.2564783,0.553985,0.32062352,0.81958055,0.20983014,0.79127395,0.82408834,0.17154211,0.77547467,0.86499643,0.38499922,0.70518976,0.8287494,0.7034869,0.8555356,0.49751785,0.6431202,0.3656876,0.7838722
A2-A04T,0.77689916,0.58810693,0.2559293,0.6735568,0.19426644,0.24982795,0.80331326,0.66129315,0.8733038,0.7545189,0.12916932,0.5226883,0.83852863,0.36618343,0.1191477,0.66012424,0.8364253,0.4506775,0.3407703,0.39903465,0.36341575,0.49821696,0.30141947,0.7975013,0.76436496,0.6547883,0.25083065,0.19690637,0.54598075,0.32932335,0.6689135,0.25199687,0.2196582,0.5652391,0.2073476,0.16373943,0.519844,0.74013585,0.6036243,0.679968,0.25228396,0.39570165,0.21994863,0.22801954,0.84227574,0.75661093,0.8771688,0.7897604,0.22625023,0.68561745,0.45118004,0.58613956,0.7656251,0.35920623,0.48913056,0.7649925,0.27271438,0.2620783,0.25799438,0.81242144,0.7911234,0.25574344,0.25653285,0.11025853,0.5472733,0.82762736,0.8305063,0.52084446,0.25196135,0.10682912,0.3375106,0.2436238,0.41297096,0.5351817,0.8248324,0.3921547,0.65662473,0.60696054,0.24023406,0.6754082,0.7478428,0.58156323,0.75041234,0.19054618,0.73057485,0.7962069,0.58015066,0.85371196,0.37412977,0.8696472,0.70905304,0.2247026,0.52149886,0.494619,0.8966348,0.3623913,0.18453802,0.8114269,0.21165544,0.85012066
A2-A04W,0.33335766,0.71134424,0.51209325,0.2910354,0.64491063,0.33771312,0.32694194,0.21537702,0.064295985,0.08906698,0.5840227,0.45606187,0.5965194,0.8939116,0.60865754,0.35898948,0.3322976,0.8217941,0.26651806,0.30044484,0.8072606,0.23247494,0.3540005,0.5596045,0.91897583,0.8969443,0.47515842,0.5319828,0.24896196,0.16159227,0.40314442,0.4578237,0.17000164,0.11042073,0.87471306,0.29642534,0.51285803,0.50642335,0.8806902,0.7400659,0.71626467,0.7546477,0.63311934,0.31481344,0.9390756,0.527805,0.36436483,0.6550671,0.42136937,0.72245914,0.6921096,0.7484803,0.18304971,0.7358206,0.3686729,0.86122173,0.71419895,0.6566733,0.3699543,0.39246407,0.56860816,0.6039067,0.44515947,0.41001883,0.6337048,0.22280721,0.2145431,0.35990214,0.2644612,0.38336432,0.86296153,0.40626526,0.6585451,0.5679276,0.6259397,0.94935364,0.9066968,0.34185368,0.30214188,0.8897768,0.113473654,0.6763723,0.9241426,0.63341707,0.77252865,0.1806603,0.49989676,0.5802638,0.38388127,0.36795914,0.891061,0.5546234,0.5608883,0.25764704,0.28326303,0.12531048,0.8348955,0.38723025,0.28306323,0.72277206
