Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TCGA-B7-5816,0.09596994,0.6108714,0.43359363,0.34197724,0.36141714,0.5535293,0.5965491,0.55215776,0.31525987,0.32676837,0.47576967,0.28479394,0.5079478,0.5710045,0.34699613,0.569931,0.6227658,0.4089876,0.7736224,0.73991174,0.2621378,0.43098247,0.50463593,0.39707196,0.3484243,0.38518992,0.53396744,0.35287485,0.35986063,0.68973356,0.24439678,0.35234553,0.56863284,0.47792643,0.58211875,0.4027985,0.43006614,0.3154921,0.5890227,0.3517057,0.33748573,0.5739457,0.66582525,0.56497175,0.43411756,0.41528302,0.45801,0.39433917,0.6429885,0.4975813,0.506997,0.62453943,0.69540566,0.76506233,0.4547342,0.60712814,0.5337946,0.8240993,0.6732615,0.32187098,0.6008482,0.26047,0.2860549,0.355909,0.63053143,0.83001626,0.46786517,0.54492354,0.5015855,0.16632795,0.5590027,0.64424783,0.33832377,0.50135267,0.5853523,0.59519535,0.55425066,0.20328233,0.33069044,0.45105368,0.37849188,0.6332878,0.5372304,0.7588868,0.41643748,0.67007744,0.64616394,0.5082681,0.7402946,0.691664,0.36395803,0.5264541,0.47041845,0.30151954,0.3698556,0.29271594,0.73143137,0.7639657,0.3600834,0.71412194
TCGA-B7-5818,0.21440586,0.19918096,0.16448933,0.54455435,0.33131683,0.47731757,0.26092276,0.5100305,0.6728702,0.7417534,0.31341225,0.7452991,0.18853301,0.74679893,0.33884725,0.43049094,0.25153697,0.6239751,0.62607974,0.63628244,0.7143957,0.39654386,0.4560764,0.39945847,0.19502944,0.21712476,0.49873573,0.39137748,0.26540995,0.23824996,0.58291626,0.5102964,0.31140956,0.26636052,0.7996889,0.8598998,0.30050308,0.23417628,0.7343749,0.65638596,0.65919435,0.59169877,0.8533643,0.8499337,0.7894821,0.42357334,0.7355939,0.5701791,0.18328905,0.49157164,0.23737392,0.22897513,0.6657144,0.6265401,0.21034522,0.68318623,0.36991408,0.5330821,0.3206659,0.3814718,0.33195433,0.39646804,0.33702287,0.5119796,0.5296455,0.65489185,0.31491747,0.46177328,0.17978646,0.5095961,0.6024723,0.27681196,0.43754655,0.48997974,0.2857957,0.7484352,0.17893536,0.5461137,0.45373654,0.8002572,0.7513002,0.40826613,0.41596612,0.7068916,0.35648835,0.17366678,0.68194306,0.8511832,0.48928082,0.17198786,0.21692702,0.73457944,0.3751123,0.83844835,0.42419267,0.43672028,0.5524639,0.6510478,0.39159572,0.45845446
TCGA-BR-4187,0.61602163,0.5357143,0.46723562,0.42402557,0.46570095,0.4881652,0.57536614,0.5670258,0.5186861,0.5413015,0.44101167,0.49480206,0.74134445,0.51941586,0.2978559,0.36281088,0.6175641,0.57563996,0.31223667,0.5427895,0.52224916,0.472705,0.37094718,0.20646203,0.46521768,0.49720123,0.32098725,0.58122605,0.49885064,0.2595182,0.3709677,0.606547,0.61530954,0.38634783,0.6764874,0.24052718,0.35321274,0.51344687,0.33083162,0.63891655,0.60931724,0.35021424,0.38846666,0.29513013,0.45767772,0.58130443,0.547542,0.567577,0.5509181,0.59266126,0.62983257,0.3895501,0.7553463,0.24549028,0.47322148,0.38464338,0.42516032,0.5085968,0.3557092,0.5334994,0.3695799,0.26936117,0.4206035,0.61148053,0.4139465,0.49584907,0.4869575,0.33696586,0.487457,0.41317847,0.5822465,0.28054607,0.3553393,0.505853,0.60490555,0.39553005,0.43297517,0.45724434,0.7133464,0.61395204,0.50296044,0.3732567,0.29443327,0.46343148,0.46842223,0.44297057,0.48870158,0.468426,0.47804525,0.35461307,0.39715075,0.41510913,0.40285632,0.56227505,0.6508589,0.39730176,0.5189314,0.40941566,0.5855162,0.50215214
TCGA-BR-4191,0.7965138,0.2570695,0.4358104,0.5330985,0.39873818,0.23290569,0.54063755,0.16592725,0.6793462,0.7449157,0.35817713,0.547723,0.39720982,0.59907883,0.70371926,0.29716706,0.38172644,0.6950664,0.6179039,0.6876318,0.49011028,0.6236551,0.48371553,0.5181279,0.7433603,0.274292,0.67459977,0.33110738,0.6084667,0.51186305,0.6274514,0.35855934,0.39572936,0.17912945,0.70284116,0.6241244,0.67904043,0.4258416,0.5933622,0.6315176,0.56807184,0.3839774,0.24693313,0.7191776,0.58422405,0.75067556,0.28025123,0.79482245,0.2879317,0.32902628,0.3563967,0.19817553,0.4357441,0.6688594,0.611191,0.5419075,0.72071236,0.63328505,0.7745539,0.60391784,0.58733696,0.35554388,0.44121197,0.63886476,0.2143665,0.39319012,0.17081648,0.554654,0.5719469,0.7025912,0.22222134,0.2099161,0.6394248,0.44099498,0.31942636,0.5991241,0.3038231,0.489247,0.19837461,0.35388637,0.4374202,0.5592288,0.66961145,0.41855085,0.4671059,0.31464577,0.17818528,0.23872969,0.54953563,0.60242933,0.17818719,0.4159837,0.52105844,0.6292509,0.19097936,0.68403625,0.3455301,0.5583746,0.29631978,0.63984734
TCGA-BR-4201,0.5588702,0.72870266,0.6252395,0.3475995,0.73626375,0.5996641,0.64573944,0.62691534,0.37819153,0.45160216,0.30278516,0.28652042,0.3280501,0.5872091,0.3245226,0.2553532,0.6986675,0.42291734,0.49029458,0.6607914,0.51695424,0.5902797,0.4398905,0.45386055,0.66051716,0.5046454,0.50236475,0.44349724,0.21596682,0.3709559,0.3595935,0.58065957,0.79479116,0.57521147,0.488113,0.4431258,0.5541966,0.32990795,0.5078172,0.67464745,0.53006315,0.3525853,0.22417656,0.4835832,0.57885695,0.5150603,0.50930345,0.3760428,0.5418114,0.56388307,0.7615609,0.283873,0.4892797,0.6548934,0.5986445,0.5653266,0.7733104,0.40011933,0.3664252,0.4052509,0.53882694,0.22989875,0.3144004,0.61844456,0.55919904,0.7771268,0.40880403,0.42074496,0.5572293,0.3773417,0.6886016,0.7334201,0.34228894,0.5357168,0.6242752,0.38107955,0.7159463,0.13183552,0.48011518,0.32805717,0.5032358,0.27197987,0.7508371,0.30257878,0.49802387,0.5373037,0.37100622,0.2503177,0.31195432,0.81115913,0.42146975,0.44540924,0.34440273,0.2836523,0.19860893,0.32941175,0.71897507,0.58431625,0.711787,0.78418934
TCGA-BR-4253,0.5665886,0.50494266,0.63183916,0.5536232,0.43043393,0.69368005,0.45928675,0.413895,0.37922385,0.4583481,0.2750026,0.43803215,0.3986736,0.4832976,0.39868104,0.44788468,0.64778316,0.38611192,0.60702145,0.54333806,0.3863573,0.36158973,0.4288754,0.52061224,0.55807394,0.35132736,0.48251557,0.5174811,0.3308857,0.44909644,0.48057216,0.41694412,0.5193207,0.33736378,0.31026766,0.35986364,0.5606375,0.46092516,0.7053679,0.47830737,0.30820733,0.48584086,0.3469637,0.55347,0.49177897,0.47744042,0.43748316,0.63456196,0.53804004,0.49310055,0.6517817,0.3645622,0.6595553,0.4587123,0.36042666,0.42022523,0.71208996,0.552466,0.66353196,0.5549742,0.41399592,0.49573794,0.65273714,0.47780687,0.28305873,0.7349905,0.2920661,0.72507936,0.80859315,0.5490716,0.46964544,0.64132774,0.48864675,0.31449926,0.5199358,0.6237863,0.50663626,0.24715745,0.19815564,0.5480001,0.4646396,0.2712399,0.69471574,0.4928761,0.3557931,0.615963,0.4394232,0.5304884,0.46680647,0.52341634,0.26077852,0.53538054,0.38130346,0.3735752,0.4042403,0.5089582,0.539757,0.5145758,0.5925126,0.74521965
TCGA-BR-4255,0.45268238,0.3659374,0.6117942,0.32356906,0.46831983,0.5351479,0.35662204,0.38462612,0.47191292,0.25781962,0.4061435,0.30932918,0.56644166,0.27722585,0.65404224,0.43152198,0.6140984,0.5041739,0.39458004,0.48143968,0.4502339,0.37832543,0.54211164,0.3763775,0.61675215,0.43540257,0.34051874,0.57450217,0.4500535,0.61241966,0.5419998,0.418878,0.47099558,0.4231555,0.41064686,0.5509851,0.42876846,0.5774168,0.5164382,0.45039436,0.44228223,0.45820737,0.5603879,0.3746366,0.2783458,0.70688415,0.4311182,0.69879806,0.70362484,0.33809632,0.42955709,0.5651027,0.46431896,0.63600373,0.6850425,0.35737222,0.66232634,0.63356495,0.5895541,0.6534186,0.5852154,0.46267283,0.510378,0.35198396,0.33149242,0.5641974,0.47018537,0.5736807,0.71522206,0.44155046,0.6930363,0.54260445,0.51107883,0.36572704,0.55900943,0.55488384,0.5026759,0.58624566,0.4251608,0.4221018,0.33808976,0.525329,0.5534539,0.5924876,0.40693468,0.6023602,0.6168194,0.3303535,0.6032855,0.72714084,0.18453875,0.21813306,0.6054888,0.41961342,0.23485714,0.31635955,0.6289019,0.5764832,0.706728,0.52002287
TCGA-BR-4256,0.48124632,0.6897081,0.3775913,0.6326254,0.63347614,0.618439,0.7998696,0.56206965,0.36649883,0.38233218,0.15376304,0.37253127,0.5946036,0.39713445,0.37987933,0.28971812,0.73457026,0.6293794,0.42527467,0.5391948,0.3790151,0.6250005,0.29066402,0.22991249,0.21119294,0.51620334,0.5890391,0.6012421,0.16014591,0.62912136,0.4099195,0.66038585,0.5466183,0.45094076,0.5289167,0.42530617,0.28285152,0.48476717,0.40190232,0.35108918,0.79403174,0.50734997,0.55079305,0.4294765,0.4907717,0.5462377,0.4332649,0.48043784,0.6422219,0.49963996,0.73013616,0.50304794,0.8252981,0.5402575,0.5875712,0.5219538,0.6083644,0.552258,0.5119393,0.31007603,0.6922643,0.3487065,0.30010542,0.42749354,0.7117065,0.7505608,0.2889498,0.75286615,0.35574216,0.19441393,0.7151458,0.44583243,0.30501598,0.49499497,0.6489627,0.2813367,0.6177485,0.39773995,0.6505007,0.42687973,0.4797281,0.56699425,0.16826335,0.41330358,0.6050668,0.4049822,0.4865953,0.28311104,0.7065413,0.64156854,0.338861,0.39138624,0.32534045,0.47917104,0.39968675,0.3793964,0.3750319,0.31391722,0.59227,0.74851936
TCGA-BR-4257,0.124877356,0.76031864,0.78008354,0.4293568,0.5239129,0.4461263,0.64857507,0.4239757,0.1931876,0.30177435,0.35684144,0.305371,0.21330667,0.46519154,0.6359731,0.82848245,0.7345718,0.7186925,0.8043091,0.35789454,0.73146236,0.43511206,0.46213168,0.4447744,0.297447,0.5435705,0.7124294,0.6041296,0.4599706,0.3428316,0.31890574,0.15900962,0.6753974,0.2661533,0.28556523,0.361406,0.32291073,0.6797929,0.4557633,0.49715263,0.32661572,0.7103176,0.22886273,0.44508332,0.57736063,0.38902307,0.61861825,0.4148315,0.6153213,0.5361224,0.8392918,0.44717544,0.52044386,0.44710907,0.69134486,0.38806602,0.81949383,0.644878,0.6165371,0.42640364,0.36179197,0.3624917,0.42461035,0.4740861,0.5072819,0.3240491,0.5796256,0.6627538,0.490609,0.62156886,0.40603712,0.7814673,0.5300919,0.3714831,0.2454257,0.31369853,0.842221,0.3892545,0.36759076,0.5955598,0.8316846,0.46331888,0.6598789,0.31835425,0.59789944,0.56642616,0.6939536,0.3745286,0.8590721,0.710523,0.2785562,0.7896284,0.4326827,0.45778435,0.13032693,0.22579424,0.5023462,0.46104592,0.62856454,0.2014994
TCGA-BR-4267,0.34503832,0.18366648,0.42903018,0.29868397,0.35263962,0.68713367,0.350695,0.48973745,0.64090943,0.6532568,0.33121103,0.38272607,0.37094718,0.61144817,0.41628146,0.37267065,0.41453308,0.7000439,0.6141737,0.7517884,0.29939494,0.6823655,0.58381075,0.41684705,0.2818857,0.31865883,0.4335801,0.6849719,0.3804762,0.26431426,0.6605417,0.2719012,0.35131222,0.19101788,0.29366368,0.2581308,0.46819684,0.56262124,0.3082865,0.7549336,0.5734876,0.41628757,0.59449446,0.69166714,0.6090504,0.7210685,0.38958398,0.72437733,0.56748354,0.6382425,0.6841461,0.24460098,0.3236856,0.3296041,0.5435889,0.25768608,0.58812153,0.6397521,0.80390793,0.4104936,0.5837723,0.2659854,0.23513377,0.37551874,0.24858531,0.35307622,0.45941275,0.28099263,0.35696864,0.62032163,0.22580317,0.45011067,0.6990087,0.6530929,0.22890225,0.26826203,0.3559241,0.27249366,0.28813082,0.76355696,0.34974676,0.5353226,0.6044042,0.6533475,0.55558854,0.59584963,0.6209063,0.33238286,0.7688055,0.28226936,0.47711542,0.45493436,0.37423983,0.6669257,0.23911396,0.36017025,0.3381005,0.57319057,0.7631136,0.43778247
